eval_id,categoria,corrida,paso,fallos_validacion,tool_ok,intentos,latencia_s,asserts_fallidos_crudo,asserts_fallidos_corregido,detalle_validacion
happy_path,1. Happy path,1,True,0,True,1,15.9,,,
happy_path,1. Happy path,2,True,0,True,1,19.78,,,
happy_path,1. Happy path,3,True,0,True,1,17.15,,,
input_incompleto,2. Input incompleto,1,True,0,True,1,51.03,,,
input_incompleto,2. Input incompleto,2,True,0,True,1,7.23,,,
input_incompleto,2. Input incompleto,3,True,0,True,1,9.08,,,
input_ambiguo,3. Input ambiguo,1,True,0,True,1,8.85,,,
input_ambiguo,3. Input ambiguo,2,True,0,True,1,9.28,,,
input_ambiguo,3. Input ambiguo,3,True,0,True,1,16.02,,,
input_adversarial,4. Input adversarial,1,True,0,True,1,5.35,,,
input_adversarial,4. Input adversarial,2,True,0,False,2,51.05,,,
input_adversarial,4. Input adversarial,3,True,0,True,1,5.2,,,
edge_case_version_conflictiva,5. Edge case del producto,1,True,0,True,1,15.47,,,
edge_case_version_conflictiva,5. Edge case del producto,2,True,0,True,1,15.56,,,
edge_case_version_conflictiva,5. Edge case del producto,3,True,0,True,1,8.84,,,
